,csGHI,csPOA,dc_power,ac_power,time_of_year
2016-02-18 12:11:00-07:00,690.8567898787594,972.0930518038577,1846.9767984273296,1846.9767984273296,0.132534532483303
2016-02-18 12:12:00-07:00,691.0034538469164,972.2632041792361,1847.3000879405488,1847.3000879405488,0.13253642987249545
2016-02-18 12:13:00-07:00,691.1334374915097,972.4136894502229,1847.5860099554234,1847.5860099554234,0.13253832726168793
2016-02-18 12:14:00-07:00,691.2467382887411,972.5445070282375,1847.8345633536512,1847.8345633536512,0.13254022465088042
2016-02-18 12:15:00-07:00,691.3433540412733,972.6556564033676,1848.0457471663985,1848.0457471663985,0.13254212204007287
2016-02-18 12:16:00-07:00,691.4232828784858,972.7471371440314,1848.2195605736597,1848.2195605736597,0.13254401942926536
2016-02-18 12:17:00-07:00,691.4865232563993,972.8189488966029,1848.3560029035455,1848.3560029035455,0.13254591681845782
2016-02-18 12:18:00-07:00,691.5330739576283,972.8710913851172,1848.4550736317226,1848.4550736317226,0.1325478142076503
2016-02-18 12:19:00-07:00,691.5629340914603,972.9035644110597,1848.5167723810134,1848.5167723810134,0.13254971159684276
2016-02-18 12:20:00-07:00,691.5761030939414,972.9163678532452,1848.541098921166,1848.541098921166,0.13255160898603524
2016-02-18 12:21:00-07:00,691.5725807278486,972.9095016677052,1848.5280531686399,1848.5280531686399,0.1325535063752277
2016-02-18 12:22:00-07:00,691.5523670824404,972.8829658875502,1848.4776351863454,1848.4776351863454,0.13255540376442018
2016-02-18 12:23:00-07:00,691.5154625739269,972.8367606231932,1848.3898451840669,1848.3898451840669,0.13255730115361264
2016-02-18 12:24:00-07:00,691.4618679450631,972.7708860622644,1848.2646835183023,1848.2646835183023,0.13255919854280512
2016-02-18 12:25:00-07:00,691.3915842653257,972.6853424698412,1848.1021506926982,1848.1021506926982,0.13256109593199758
2016-02-18 12:26:00-07:00,691.304612930822,972.5801301886266,1847.9022473583907,1847.9022473583907,0.13256299332119006
2016-02-18 12:27:00-07:00,691.2009556644318,972.4552496392881,1847.6649743146475,1847.6649743146475,0.13256489071038252
2016-02-18 12:28:00-07:00,691.0806145155501,972.3107013206894,1847.39033250931,1847.39033250931,0.132566788099575
2016-02-18 12:29:00-07:00,690.9435918601811,972.146485810337,1847.0783230396403,1847.0783230396403,0.13256868548876746
2016-02-18 12:30:00-07:00,690.7898904010273,971.9626037648908,1846.7289471532924,1846.7289471532924,0.13257058287795995
2016-02-18 12:31:00-07:00,690.6195131672198,971.7590559205648,1846.3422062490733,1846.3422062490733,0.1325724802671524
2016-02-18 12:32:00-07:00,690.4324635143973,971.5358430937683,1845.9181018781596,1845.9181018781596,0.1325743776563449
2016-02-18 12:33:00-07:00,690.2287451248365,971.2929661818134,1845.4566357454455,1845.4566357454455,0.13257627504553735
2016-02-18 12:34:00-07:00,690.0083620069875,971.0304261634171,1844.9578097104927,1844.9578097104927,0.13257817243472983
2016-02-18 12:35:00-07:00,689.7713184957594,970.7482240996139,1844.4216257892665,1844.4216257892665,0.1325800698239223
2016-02-18 12:36:00-07:00,689.5176192526003,970.4463611346428,1843.8480861558212,1843.8480861558212,0.13258196721311477
2016-02-18 12:37:00-07:00,689.2472692649695,970.1248384965826,1843.2371931435068,1843.2371931435068,0.13258386460230723
2016-02-18 12:38:00-07:00,688.9602738466202,969.7836574984638,1842.588949247081,1842.588949247081,0.1325857619914997
2016-02-18 12:39:00-07:00,688.6566386374034,969.4228195391818,1841.9033571244454,1841.9033571244454,0.13258765938069217
2016-02-18 12:40:00-07:00,688.3363696033803,969.0423261046412,1841.1804195988184,1841.1804195988184,0.13258955676988465
2016-02-18 12:41:00-07:00,687.9994730364814,968.6421787687395,1840.4201396606052,1840.4201396606052,0.13259145415907714
2016-02-18 12:42:00-07:00,687.6459555545641,968.222379194565,1839.6225204696734,1839.6225204696734,0.1325933515482696
2016-02-18 12:43:00-07:00,687.2758241014724,967.7829291357133,1838.7875653578553,1838.7875653578553,0.13259524893746208
2016-02-18 12:44:00-07:00,686.8890859467256,967.3238304374385,1837.915277831133,1837.915277831133,0.13259714632665454
2016-02-18 12:45:00-07:00,686.485748685378,966.8450850379336,1837.0056615720737,1837.0056615720737,0.13259904371584702
2016-02-18 12:46:00-07:00,686.065820238356,966.34669496997,1836.058720442943,1836.058720442943,0.13260094110503948
2016-02-18 12:47:00-07:00,685.6293088518895,965.8286623620528,1835.0744584879003,1835.0744584879003,0.13260283849423196
2016-02-18 12:48:00-07:00,685.1762230976035,965.2909894400209,1834.0528799360397,1834.0528799360397,0.13260473588342442
2016-02-18 12:49:00-07:00,684.7065718725644,964.7336785286805,1832.993989204493,1832.993989204493,0.1326066332726169
2016-02-18 12:50:00-07:00,684.2203643988796,964.1567320532132,1831.897790901105,1831.897790901105,0.13260853066180936
2016-02-18 12:51:00-07:00,683.7176102236851,963.5601525408763,1830.764289827665,1830.764289827665,0.13261042805100184
2016-02-18 12:52:00-07:00,683.1983192193896,962.9439426229214,1829.5934909835507,1829.5934909835507,0.1326123254401943
2016-02-18 12:53:00-07:00,682.6625015829497,962.3081050359503,1828.3853995683055,1828.3853995683055,0.13261422282938679
2016-02-18 12:54:00-07:00,682.1101678361051,961.6526426239308,1827.1400209854685,1827.1400209854685,0.13261612021857924
2016-02-18 12:55:00-07:00,681.5413288253608,960.9775583400947,1825.85736084618,1825.85736084618,0.13261801760777173
2016-02-18 12:56:00-07:00,680.9559957215533,960.282855248623,1824.5374249723836,1824.5374249723836,0.13261991499696418
2016-02-18 12:57:00-07:00,680.3541800199247,959.5685365267134,1823.1802194007555,1823.1802194007555,0.13262181238615667
2016-02-18 12:58:00-07:00,679.7358935398878,958.8346054664738,1821.7857503863002,1821.7857503863002,0.13262370977534912
2016-02-18 12:59:00-07:00,679.1011484251038,958.0810654770825,1820.3540244064568,1820.3540244064568,0.1326256071645416
2016-02-18 13:00:00-07:00,678.4499571430223,957.3079200866405,1818.8850481646168,1818.8850481646168,0.13262750455373407
2016-02-18 13:01:00-07:00,677.7823324848966,956.5151729443642,1817.378828594292,1817.378828594292,0.13262940194292655
2016-02-18 13:02:00-07:00,677.098287565808,955.7028278228364,1815.8353728633892,1815.8353728633892,0.132631299332119
2016-02-18 13:03:00-07:00,676.3978358241874,954.8708886199789,1814.25468837796,1814.25468837796,0.1326331967213115
2016-02-18 13:04:00-07:00,675.6809910218244,954.0193593613544,1812.6367827865733,1812.6367827865733,0.13263509411050395
2016-02-18 13:05:00-07:00,674.9477672438908,953.1482442025566,1810.9816639848575,1810.9816639848575,0.13263699149969643
2016-02-18 13:06:00-07:00,674.1981788984945,952.257547431288,1809.2893401194472,1809.2893401194472,0.1326388888888889
2016-02-18 13:07:00-07:00,673.4322407164647,951.3472734696577,1807.5598195923494,1807.5598195923494,0.13264078627808135
2016-02-18 13:08:00-07:00,672.6499677517064,950.4174268768792,1805.7931110660704,1805.7931110660704,0.13264268366727383
2016-02-18 13:09:00-07:00,671.8513753804597,949.4680123512676,1803.9892234674082,1803.9892234674082,0.13264458105646632
2016-02-18 13:10:00-07:00,671.0364793014185,948.4990347328526,1802.14816599242,1802.14816599242,0.13264647844565877
2016-02-18 13:11:00-07:00,670.2052955354471,947.5104990057428,1800.2699481109114,1800.2699481109114,0.13264837583485126
2016-02-18 13:12:00-07:00,669.3578404256453,946.5024103007821,1798.354579571486,1798.354579571486,0.1326502732240437
2016-02-18 13:13:00-07:00,668.4941306368136,945.4747738977713,1796.4020704057655,1796.4020704057655,0.1326521706132362
2016-02-18 13:14:00-07:00,667.6141831553948,944.4275952281014,1794.4124309333927,1794.4124309333927,0.13265406800242865
2016-02-18 13:15:00-07:00,666.7180152897232,943.3608798775954,1792.3856717674314,1792.3856717674314,0.13265596539162114
2016-02-18 13:16:00-07:00,665.8056446691112,942.2746335885595,1790.3218038182629,1790.3218038182629,0.1326578627808136
2016-02-18 13:17:00-07:00,664.8770892441521,941.1688622627221,1788.220838299172,1788.220838299172,0.13265976017000608
